Station Name,OTTAWA INTL A,http://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2011-12-14%7C2019-02-11&dlyRange=2011-12-15%7C2019-02-11&mlyRange=%7C&StationID=49568&Prov=ON&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=1840&EndYear=2019&selRowPerPage=25&Line=14&searchMethod=contains&Month=12&Day=12&txtStationName=ottawa&timeframe=2&Year=2018,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2016,2016,3,28,,5.8,,1.2,,3.5,,14.5,,0,,19.6,,0,,19.6,,,,31,,63,
29/03/2016,2016,3,29,,6.5,,-3.1,,1.7,,16.3,,0,,0,,0,,0,,,,33,,59,
30/03/2016,2016,3,30,,11.4,,-5.2,,3.1,,14.9,,0,,1.2,,0,,1.2,,,,18,,43,
31/03/2016,2016,3,31,,14,,4.4,,9.2,,8.8,,0,,17.4,,0,,17.4,,,,21,,63,
01/04/2016,2016,4,1,,13.9,,1.4,,7.7,,10.3,,0,,0,T,0,,0,T,,,23,,46,
02/04/2016,2016,4,2,,6.8,,-4.8,,1,,17,,0,,0.8,,0,,0.8,,,,27,,48,
03/04/2016,2016,4,3,,-4.6,,-10,,-7.3,,25.3,,0,,0,,0,,0,,,,27,,63,
04/04/2016,2016,4,4,,-1.4,,-9.1,,-5.3,,23.3,,0,,0,,0,,0,,,,36,,39,
05/04/2016,2016,4,5,,-0.1,,-11.1,,-5.6,,23.6,,0,,0,,0,,0,,,,32,,41,
06/04/2016,2016,4,6,,1.4,,-5.6,,-2.1,,20.1,,0,,0,,14.2,,17.6,,0,T,7,,37,
07/04/2016,2016,4,7,,8.2,,-0.1,,4.1,,13.9,,0,,4.2,,0,T,4.2,,10,,7,,39,
08/04/2016,2016,4,8,,2.3,,-6.1,,-1.9,,19.9,,0,,0,,0.4,,0.2,,2,,28,,46,
09/04/2016,2016,4,9,,0.1,,-8.8,,-4.4,,22.4,,0,,0,,0,,0,,2,,34,,37,
10/04/2016,2016,4,10,,3.1,,-10.2,,-3.6,,21.6,,0,,0,,1,,0.6,,2,,21,,41,
11/04/2016,2016,4,11,,8,,-2.2,,2.9,,15.1,,0,,5.6,,4.6,,11,,3,,29,,56,
12/04/2016,2016,4,12,,6.5,,-3,,1.8,,16.2,,0,,0,T,0,,0,T,0,T,30,,46,
13/04/2016,2016,4,13,,7,,-5,,1,,17,,0,,0,,0,,0,,,,,,<31,
14/04/2016,2016,4,14,,10.9,,-4.5,,3.2,,14.8,,0,,0,,0,,0,,,,,,<31,
15/04/2016,2016,4,15,,14.6,,-2.1,,6.3,,11.7,,0,,0,,0,,0,,,,10,,41,
16/04/2016,2016,4,16,,16.9,,1.7,,9.3,,8.7,,0,,0,,0,,0,,,,10,,35,
17/04/2016,2016,4,17,,23.1,,2.3,,12.7,,5.3,,0,,0,,0,,0,,,,28,,37,
18/04/2016,2016,4,18,,15.1,,4.5,,9.8,,8.2,,0,,4.6,,0,,4.6,,,,3,,35,
19/04/2016,2016,4,19,,14.8,,1.3,,8.1,,9.9,,0,,0,,0,,0,,,,29,,48,
20/04/2016,2016,4,20,,15.8,,0.8,,8.3,,9.7,,0,,0,,0,,0,,,,,,<31,
21/04/2016,2016,4,21,,22.8,,-0.6,,11.1,,6.9,,0,,0,T,0,,0,T,,,21,,32,
22/04/2016,2016,4,22,,14.9,,4.5,,9.7,,8.3,,0,,4.8,,0,,4.8,,,,33,,43,
23/04/2016,2016,4,23,,11,,0.2,,5.6,,12.4,,0,,0,,0,,0,,,,34,,44,
24/04/2016,2016,4,24,,12.4,,-2.4,,5,,13,,0,,0,,0,,0,,,,1,,32,
25/04/2016,2016,4,25,,9,,-0.5,,4.3,,13.7,,0,,0,,0,,0,,,,,,<31,
26/04/2016,2016,4,26,,11,,0.3,,5.7,,12.3,,0,,0,,0,,0,,,,6,,43,
27/04/2016,2016,4,27,,8.8,,-3.7,,2.6,,15.4,,0,,0,,0,,0,,,,26,,46,
28/04/2016,2016,4,28,,9.8,,-3.3,,3.3,,14.7,,0,,0,,0,,0,,,,36,,39,
29/04/2016,2016,4,29,,12.9,,-3.1,,4.9,,13.1,,0,,0,,0,,0,,,,3,,35,
30/04/2016,2016,4,30,,16.3,,-0.4,,8,,10,,0,,0,,0,,0,,,,,,<31,
01/05/2016,2016,5,1,,9.7,,5.8,,7.8,,10.2,,0,,6.4,,0,,6.4,,,,4,,35,
02/05/2016,2016,5,2,,9.3,,2.4,,5.9,,12.1,,0,,0.4,,0,,0.4,,,,,,<31,
03/05/2016,2016,5,3,,16.3,,-0.9,,7.7,,10.3,,0,,0,,0,,0,,,,13,,32,
04/05/2016,2016,5,4,,15.1,,3.3,,9.2,,8.8,,0,,0.2,,0,,0.2,,,,5,,37,
05/05/2016,2016,5,5,,19.6,,7.8,,13.7,,4.3,,0,,0,,0,,0,,,,9,,43,
06/05/2016,2016,5,6,,21.9,,6,,14,,4,,0,,0,,0,,0,,,,7,,39,
07/05/2016,2016,5,7,,20.7,,10.1,,15.4,,2.6,,0,,1.4,,0,,1.4,,,,23,,41,
08/05/2016,2016,5,8,,10.9,,1.5,,6.2,,11.8,,0,,10.2,,0,,10.2,,,,32,,56,
09/05/2016,2016,5,9,,12.7,,-1.9,,5.4,,12.6,,0,,0,,0,,0,,,,29,,52,
10/05/2016,2016,5,10,,19,,-0.4,,9.3,,8.7,,0,,0,,0,,0,,,,28,,33,
11/05/2016,2016,5,11,,22.5,,4,,13.3,,4.7,,0,,0,,0,,0,,,,,,<31,
12/05/2016,2016,5,12,,26.9,,7.4,,17.2,,0.8,,0,,0,,0,,0,,,,15,,33,
13/05/2016,2016,5,13,,23.4,,10.3,,16.9,,1.1,,0,,5.6,,0,,5.6,,,,25,,50,
14/05/2016,2016,5,14,,18.1,,5.6,,11.9,,6.1,,0,,2,,0,,2,,,,26,,52,
15/05/2016,2016,5,15,,9.7,,3.6,,6.7,,11.3,,0,,0,T,0,,0,T,,,28,,63,
16/05/2016,2016,5,16,,12.8,,2.1,,7.5,,10.5,,0,,0,,0,,0,,,,28,,57,
17/05/2016,2016,5,17,,15.6,,-0.4,,7.6,,10.4,,0,,0,,0,,0,,,,32,,52,
18/05/2016,2016,5,18,,17.4,,5.2,,11.3,,6.7,,0,,0,,0,,0,,,,,,<31,
19/05/2016,2016,5,19,,20.1,,7.8,,14,,4,,0,,0,,0,,0,,,,33,,39,
20/05/2016,2016,5,20,,24.6,,5.4,,15,,3,,0,,0,,0,,0,,,,24,,33,
21/05/2016,2016,5,21,,25.5,,8.8,,17.2,,0.8,,0,,0,,0,,0,,,,,,<31,
22/05/2016,2016,5,22,,26,,10.9,,18.5,,0,,0.5,,0,,0,,0,,,,33,,39,
23/05/2016,2016,5,23,,26.9,,11.1,,19,,0,,1,,0,,0,,0,,,,,,<31,
24/05/2016,2016,5,24,,29.6,,9.9,,19.8,,0,,1.8,,0,,0,,0,,,,31,,33,
25/05/2016,2016,5,25,,26.7,,12.6,,19.7,,0,,1.7,,0,,0,,0,,,,31,,43,
26/05/2016,2016,5,26,,25.4,,11.4,,18.4,,0,,0.4,,0,T,0,,0,T,,,7,,33,
27/05/2016,2016,5,27,,32.3,,12.4,,22.4,,0,,4.4,,0,,0,,0,,,,26,,44,
28/05/2016,2016,5,28,,32.2,,17.2,,24.7,,0,,6.7,,0,,0,,0,,,,31,,35,
29/05/2016,2016,5,29,,33.2,,17.7,,25.5,,0,,7.5,,0,,0,,0,,,,19,,41,
30/05/2016,2016,5,30,,30.1,,15.3,,22.7,,0,,4.7,,0,,0,,0,,,,24,,46,
31/05/2016,2016,5,31,,24.2,,10.6,,17.4,,0.6,,0,,0,,0,,0,,,,31,,54,
01/06/2016,2016,6,1,,25.8,,10.5,,18.2,,0,,0.2,,0,,0,,0,,,,9,,39,
02/06/2016,2016,6,2,,22.6,,13.1,,17.9,,0.1,,0,,0.8,,0,,0.8,,,,19,,46,
03/06/2016,2016,6,3,,26.7,,11.8,,19.3,,0,,1.3,,0,,0,,0,,,,34,,39,
04/06/2016,2016,6,4,,26.8,,14.1,,20.5,,0,,2.5,,0,,0,,0,,,,,,<31,
05/06/2016,2016,6,5,,20.3,,14.3,,17.3,,0.7,,0,,36.4,,0,,36.4,,,,9,,44,
06/06/2016,2016,6,6,,23,,15.1,,19.1,,0,,1.1,,0,,0,,0,,,,21,,50,
07/06/2016,2016,6,7,,22,,10.4,,16.2,,1.8,,0,,5.6,,0,,5.6,,,,28,,48,
08/06/2016,2016,6,8,,12.9,,8.6,,10.8,,7.2,,0,,0,T,0,,0,T,,,29,,50,
09/06/2016,2016,6,9,,19.4,,7.3,,13.4,,4.6,,0,,0,,0,,0,,,,28,,57,
10/06/2016,2016,6,10,,20.1,,6.3,,13.2,,4.8,,0,,0,,0,,0,,,,26,,33,
11/06/2016,2016,6,11,,16,,9.3,,12.7,,5.3,,0,,5.8,,0,,5.8,,,,31,,48,
12/06/2016,2016,6,12,,16.1,,8.4,,12.3,,5.7,,0,,0,T,0,,0,T,,,32,,67,
13/06/2016,2016,6,13,,21.3,,8.7,,15,,3,,0,,0,,0,,0,,,,30,,57,
14/06/2016,2016,6,14,,25,,5.7,,15.4,,2.6,,0,,0,,0,,0,,,,29,,39,
15/06/2016,2016,6,15,,28.1,,9.9,,19,,0,,1,,0,,0,,0,,,,26,,35,
16/06/2016,2016,6,16,,28.8,,11.9,,20.4,,0,,2.4,,0,,0,,0,,,,7,,37,
17/06/2016,2016,6,17,,29.8,,9.9,,19.9,,0,,1.9,,0,,0,,0,,,,33,,32,
18/06/2016,2016,6,18,,31.7,,11.2,,21.5,,0,,3.5,,0,,0,,0,,,,20,,35,
19/06/2016,2016,6,19,,33.3,,15.5,,24.4,,0,,6.4,,0,,0,,0,,,,22,,43,
20/06/2016,2016,6,20,,32.1,,17.2,,24.7,,0,,6.7,,0,T,0,,0,T,,,20,,57,
21/06/2016,2016,6,21,,24.2,,13.5,,18.9,,0,,0.9,,0,,0,,0,,,,28,,44,
22/06/2016,2016,6,22,,22.8,,13.1,,18,,0,,0,,0.6,,0,,0.6,,,,29,,46,
23/06/2016,2016,6,23,,25.9,,9,,17.5,,0.5,,0,,0,,0,,0,,,,30,,39,
24/06/2016,2016,6,24,,28,,8.7,,18.4,,0,,0.4,,0,,0,,0,,,,33,,32,
25/06/2016,2016,6,25,,31.2,,11.5,,21.4,,0,,3.4,,0,,0,,0,,,,,,<31,
26/06/2016,2016,6,26,,33,,14.1,,23.6,,0,,5.6,,0.4,,0,,0.4,,,,18,,54,
27/06/2016,2016,6,27,,29.1,,20.1,,24.6,,0,,6.6,,12,,0,,12,,,,20,,43,
28/06/2016,2016,6,28,,26.2,,17.7,,22,,0,,4,,4.6,,0,,4.6,,,,33,,32,
29/06/2016,2016,6,29,,25.1,,14.4,,19.8,,0,,1.8,,0,,0,,0,,,,36,,32,
30/06/2016,2016,6,30,,29.3,,11.3,,20.3,,0,,2.3,,0,,0,,0,,,,20,,37,
01/07/2016,2016,7,1,,27.9,,11.2,,19.6,,0,,1.6,,12,,0,,12,,,,22,,59,
02/07/2016,2016,7,2,,22.4,,11.5,,17,,1,,0,,0.2,,0,,0.2,,,,28,,54,
03/07/2016,2016,7,3,,27.6,,11.1,,19.4,,0,,1.4,,0,,0,,0,,,,27,,48,
04/07/2016,2016,7,4,,29.9,,12.7,,21.3,,0,,3.3,,0,,0,,0,,,,22,,39,
05/07/2016,2016,7,5,,32.3,,12.9,,22.6,,0,,4.6,,0,,0,,0,,,,27,,37,
06/07/2016,2016,7,6,,31.4,,17,,24.2,,0,,6.2,,0,T,0,,0,T,,,22,,33,
07/07/2016,2016,7,7,,30.2,,18.2,,24.2,,0,,6.2,,0.4,,0,,0.4,,,,31,,37,
08/07/2016,2016,7,8,,22.2,,17.3,,19.8,,0,,1.8,,0,T,0,,0,T,,,8,,35,
09/07/2016,2016,7,9,,18.6,,15.3,,17,,1,,0,,22.6,,0,,22.6,,,,7,,37,
10/07/2016,2016,7,10,,21.5,,12.4,,17,,1,,0,,0.8,,0,,0.8,,,,33,,41,
11/07/2016,2016,7,11,,28.4,,10.9,,19.7,,0,,1.7,,0,,0,,0,,,,,,<31,
12/07/2016,2016,7,12,,29.7,,13.8,,21.8,,0,,3.8,,0,,0,,0,,,,,,<31,
13/07/2016,2016,7,13,,32.6,,18.1,,25.4,,0,,7.4,,0,T,0,,0,T,,,22,,59,
14/07/2016,2016,7,14,,28.4,,19,,23.7,,0,,5.7,,8.8,,0,,8.8,,,,23,,44,
15/07/2016,2016,7,15,,29.8,,15.9,,22.9,,0,,4.9,,1.8,,0,,1.8,,,,30,,61,
16/07/2016,2016,7,16,,23.1,,14,,18.6,,0,,0.6,,0,T,0,,0,T,,,,,<31,
17/07/2016,2016,7,17,,27.1,,16.8,,22,,0,,4,,4.6,,0,,4.6,,,,24,,33,
18/07/2016,2016,7,18,,29.5,,16.2,,22.9,,0,,4.9,,0,T,0,,0,T,,,27,,54,
19/07/2016,2016,7,19,,24,,11.1,,17.6,,0.4,,0,,0,,0,,0,,,,31,,44,
20/07/2016,2016,7,20,,27.8,,10.7,,19.3,,0,,1.3,,0,,0,,0,,,,29,,30,
21/07/2016,2016,7,21,,32.6,,12.9,,22.8,,0,,4.8,,0,T,0,,0,T,,,23,,44,
22/07/2016,2016,7,22,,34,,20.7,,27.4,,0,,9.4,,0,T,0,,0,T,,,27,,59,
23/07/2016,2016,7,23,,29.3,,17.3,,23.3,,0,,5.3,,0,T,0,,0,T,,,33,,44,
24/07/2016,2016,7,24,,27.5,,13,,20.3,,0,,2.3,,0,,0,,0,,,,,,<31,
25/07/2016,2016,7,25,,28.5,,17.7,,23.1,,0,,5.1,,6,,0,,6,,,,22,,41,
26/07/2016,2016,7,26,,29.9,,17.7,,23.8,,0,,5.8,,0,,0,,0,,,,32,,35,
27/07/2016,2016,7,27,,31.4,,16.1,,23.8,,0,,5.8,,0,T,0,,0,T,,,24,,37,
28/07/2016,2016,7,28,,29.1,,17.2,,23.2,,0,,5.2,,0,,0,,0,,,,,,<31,
29/07/2016,2016,7,29,,26.6,,14.8,,20.7,,0,,2.7,,0,,0,,0,,,,33,,44,
30/07/2016,2016,7,30,,27.5,,13.9,,20.7,,0,,2.7,,0,,0,,0,,,,7,,33,
31/07/2016,2016,7,31,,30.4,,13.7,,22.1,,0,,4.1,,0,,0,,0,,,,10,,35,
01/08/2016,2016,8,1,,30.3,,16.8,,23.6,,0,,5.6,,0,,0,,0,,,,8,,41,
02/08/2016,2016,8,2,,30.3,,14.9,,22.6,,0,,4.6,,0,,0,,0,,,,7,,35,
03/08/2016,2016,8,3,,31.6,,14,,22.8,,0,,4.8,,0,T,0,,0,T,,,20,,33,
04/08/2016,2016,8,4,,34.2,,18.2,,26.2,,0,,8.2,,0,,0,,0,,,,24,,33,
05/08/2016,2016,8,5,,33.1,,18.5,,25.8,,0,,7.8,,0,T,0,,0,T,,,18,,50,
06/08/2016,2016,8,6,,28.6,,16.2,,22.4,,0,,4.4,,0,,0,,0,,,,32,,56,
07/08/2016,2016,8,7,,27.8,,13.6,,20.7,,0,,2.7,,0,T,0,,0,T,,,31,,52,
08/08/2016,2016,8,8,,30.7,,11.7,,21.2,,0,,3.2,,0,,0,,0,,,,31,,44,
09/08/2016,2016,8,9,,32.7,,13.4,,23.1,,0,,5.1,,0,,0,,0,,,,19,,35,
10/08/2016,2016,8,10,,34.6,,19.3,,27,,0,,9,,0,,0,,0,,,,20,,46,
11/08/2016,2016,8,11,,34.4,,19,,26.7,,0,,8.7,,0,T,0,,0,T,,,30,,32,
12/08/2016,2016,8,12,,25.8,,17.3,,21.6,,0,,3.6,,5.2,,0,,5.2,,,,7,,37,
13/08/2016,2016,8,13,,19.9,,16,,18,,0,,0,,39.2,,0,,39.2,,,,7,,48,
14/08/2016,2016,8,14,,25.3,,15.1,,20.2,,0,,2.2,,0.2,,0,,0.2,,,,28,,44,
15/08/2016,2016,8,15,,27.9,,14.4,,21.2,,0,,3.2,,0,,0,,0,,,,,,<31,
16/08/2016,2016,8,16,,22.1,,15.8,,19,,0,,1,,26.4,,0,,26.4,,,,7,,61,
17/08/2016,2016,8,17,,28.7,,16.1,,22.4,,0,,4.4,,0.6,,0,,0.6,,,,34,,33,
18/08/2016,2016,8,18,,28,,14.8,,21.4,,0,,3.4,,1,,0,,1,,,,,,<31,
19/08/2016,2016,8,19,,29.5,,12.2,,20.9,,0,,2.9,,0,,0,,0,,,,,,<31,
20/08/2016,2016,8,20,,31.1,,16.2,,23.7,,0,,5.7,,0,,0,,0,,,,18,,39,
21/08/2016,2016,8,21,,24.1,,13.8,,19,,0,,1,,18.2,,0,,18.2,,,,29,,50,
22/08/2016,2016,8,22,,22.8,,10.4,,16.6,,1.4,,0,,0,,0,,0,,,,31,,44,
23/08/2016,2016,8,23,,27.7,,9.8,,18.8,,0,,0.8,,0,,0,,0,,,,24,,46,
24/08/2016,2016,8,24,,30.1,,15.5,,22.8,,0,,4.8,,0,,0,,0,,,,19,,37,
25/08/2016,2016,8,25,,29.9,,20.2,,25.1,,0,,7.1,,0.6,,0,,0.6,,,,25,,35,
26/08/2016,2016,8,26,,28.6,,19.5,,24.1,,0,,6.1,,0,,0,,0,,,,31,,39,
27/08/2016,2016,8,27,,27.1,,16.3,,21.7,,0,,3.7,,0,,0,,0,,,,,,<31,
28/08/2016,2016,8,28,,30.1,,17.9,,24,,0,,6,,0.2,,0,,0.2,,,,29,,39,
29/08/2016,2016,8,29,,25.1,,12.5,,18.8,,0,,0.8,,0,,0,,0,,,,31,,39,
30/08/2016,2016,8,30,,25.6,,12.6,,19.1,,0,,1.1,,0,,0,,0,,,,23,,32,
31/08/2016,2016,8,31,,27.2,,14.1,,20.7,,0,,2.7,,0,,0,,0,,,,32,,37,
01/09/2016,2016,9,1,,23.2,,10.8,,17,,1,,0,,0,,0,,0,,,,32,,35,
02/09/2016,2016,9,2,,20.3,,8.4,,14.4,,3.6,,0,,0,,0,,0,,,,31,,39,
03/09/2016,2016,9,3,,23.5,,6.2,,14.9,,3.1,,0,,0,,0,,0,,,,,,<31,
04/09/2016,2016,9,4,,25.8,,8.7,,17.3,,0.7,,0,,0,,0,,0,,,,,,<31,
05/09/2016,2016,9,5,,27.9,,7.7,,17.8,,0.2,,0,,0,,0,,0,,,,,,<31,
06/09/2016,2016,9,6,,29.8,,10.5,,20.2,,0,,2.2,,0,,0,,0,,,,,,<31,
07/09/2016,2016,9,7,,28.5,,16,,22.3,,0,,4.3,,1.4,,0,,1.4,,,,,,<31,
08/09/2016,2016,9,8,,27.4,,20.4,,23.9,,0,,5.9,,2.2,,0,,2.2,,,,,,<31,
09/09/2016,2016,9,9,,27.2,,15.2,,21.2,,0,,3.2,,0,,0,,0,,,,28,,33,
10/09/2016,2016,9,10,,25.9,,13.3,,19.6,,0,,1.6,,3.6,,0,,3.6,,,,20,,54,
11/09/2016,2016,9,11,,21.7,,8.4,,15.1,,2.9,,0,,0.6,,0,,0.6,,,,29,,63,
12/09/2016,2016,9,12,,24.5,,7.1,,15.8,,2.2,,0,,0,,0,,0,,,,22,,35,
13/09/2016,2016,9,13,,27.2,,8.9,,18.1,,0,,0.1,,0,,0,,0,,,,23,,39,
14/09/2016,2016,9,14,,19.8,,7.5,,13.7,,4.3,,0,,0.2,,0,,0.2,,,,29,,46,
15/09/2016,2016,9,15,,18,,4.5,,11.3,,6.7,,0,,0,,0,,0,,,,,,<31,
16/09/2016,2016,9,16,,22.5,,4.7,,13.6,,4.4,,0,,0,,0,,0,,,,,,<31,
17/09/2016,2016,9,17,,21.5,,8.7,,15.1,,2.9,,0,,22.2,,0,,22.2,,,,23,,41,
18/09/2016,2016,9,18,,26.4,,16.7,,21.6,,0,,3.6,,0,,0,,0,,,,22,,35,
19/09/2016,2016,9,19,,25.6,,13.1,,19.4,,0,,1.4,,0,,0,,0,,,,,,<31,
20/09/2016,2016,9,20,,26.7,,11.6,,19.2,,0,,1.2,,0,,0,,0,,,,25,,41,
21/09/2016,2016,9,21,,26.8,,10.3,,18.6,,0,,0.6,,0,,0,,0,,,,28,,39,
22/09/2016,2016,9,22,,25.1,,12.4,,18.8,,0,,0.8,,6,,0,,6,,,,6,,35,
23/09/2016,2016,9,23,,17.9,,7.1,,12.5,,5.5,,0,,1.6,,0,,1.6,,,,1,,33,
24/09/2016,2016,9,24,,17.7,,4.6,,11.2,,6.8,,0,,0,,0,,0,,,,31,,41,
25/09/2016,2016,9,25,,17,,2.8,,9.9,,8.1,,0,,0,,0,,0,,,,30,,32,
26/09/2016,2016,9,26,,16.8,,2.6,,9.7,,8.3,,0,,1,,0,,1,,,,10,,35,
27/09/2016,2016,9,27,,21.1,,9.4,,15.3,,2.7,,0,,0,,0,,0,,,,23,,33,
28/09/2016,2016,9,28,,19.4,,10,,14.7,,3.3,,0,,0,,0,,0,,,,6,,44,
29/09/2016,2016,9,29,,18.6,,8,,13.3,,4.7,,0,,0,,0,,0,,,,7,,43,
30/09/2016,2016,9,30,,18.4,,10.1,,14.3,,3.7,,0,,0,T,0,,0,T,,,6,,33,
01/10/2016,2016,10,1,,17.7,,10.5,,14.1,,3.9,,0,,0,T,0,,0,T,,,,,<31,
02/10/2016,2016,10,2,,15.8,,11.7,,13.8,,4.2,,0,,2.6,,0,,2.6,,,,,,<31,
03/10/2016,2016,10,3,,20.3,,9.3,,14.8,,3.2,,0,,0,,0,,0,,,,,,<31,
04/10/2016,2016,10,4,,20,,6.8,,13.4,,4.6,,0,,0,,0,,0,,,,,,<31,
05/10/2016,2016,10,5,,21.6,,7.3,,14.5,,3.5,,0,,0,,0,,0,,,,,,<31,
06/10/2016,2016,10,6,,22.4,,6.2,,14.3,,3.7,,0,,0,,0,,0,,,,,,<31,
07/10/2016,2016,10,7,,24.5,,7.6,,16.1,,1.9,,0,,0,,0,,0,,,,19,,32,
08/10/2016,2016,10,8,,16.9,,7.3,,12.1,,5.9,,0,,13,,0,,13,,,,29,,46,
09/10/2016,2016,10,9,,11.8,,2.2,,7,,11,,0,,0,,0,,0,,,,32,,41,
10/10/2016,2016,10,10,,11.6,,0,,5.8,,12.2,,0,,0,,0,,0,,,,34,,37,
11/10/2016,2016,10,11,,18.5,,-0.9,,8.8,,9.2,,0,,0,,0,,0,,,,,,<31,
12/10/2016,2016,10,12,,20,,4.1,,12.1,,5.9,,0,,0,,0,,0,,,,17,,39,
13/10/2016,2016,10,13,,13.8,,2.5,,8.2,,9.8,,0,,1,,0,,1,,,,29,,54,
14/10/2016,2016,10,14,,12.5,,-4.2,,4.2,,13.8,,0,,0,,0,,0,,,,,,<31,
15/10/2016,2016,10,15,,18.1,,-0.1,,9,,9,,0,,0,,0,,0,,,,18,,35,
16/10/2016,2016,10,16,,19,,12.9,,16,,2,,0,,1.6,,0,,1.6,,,,22,,39,
17/10/2016,2016,10,17,,15.6,,7.5,,11.6,,6.4,,0,,12.8,,0,,12.8,,,,7,,35,
18/10/2016,2016,10,18,,24.2,,8,,16.1,,1.9,,0,,0.2,,0,,0.2,,,,21,,70,
19/10/2016,2016,10,19,,16.9,,6.9,,11.9,,6.1,,0,,0,,0,,0,,,,29,,41,
20/10/2016,2016,10,20,,11.8,,6.8,,9.3,,8.7,,0,,19.2,,0,,19.2,,,,5,,33,
21/10/2016,2016,10,21,,9.7,,5.1,,7.4,,10.6,,0,,26,,0,,26,,,,35,,44,
22/10/2016,2016,10,22,,5.1,,3.3,,4.2,,13.8,,0,,9.8,,0,,9.8,,,,29,,61,
23/10/2016,2016,10,23,,11.1,,1.5,,6.3,,11.7,,0,,0,,0,,0,,,,26,,65,
24/10/2016,2016,10,24,,7.8,,-0.1,,3.9,,14.1,,0,,0,,0,,0,,,,29,,54,
25/10/2016,2016,10,25,,6.8,,-1.5,,2.7,,15.3,,0,,0,,0,T,0,T,,,28,,48,
26/10/2016,2016,10,26,,3,,-3.4,,-0.2,,18.2,,0,,0,,0,,0,,,,34,,35,
27/10/2016,2016,10,27,,2.6,,-3,,-0.2,,18.2,,0,,0,,5.8,,10.2,,2,,8,,43,
28/10/2016,2016,10,28,,3.8,,0.3,,2.1,,15.9,,0,,3.4,,0,T,3.4,,0,T,,,<31,
29/10/2016,2016,10,29,,8.6,,0.8,,4.7,,13.3,,0,,7.2,,0,,7.2,,,,32,,33,
30/10/2016,2016,10,30,,5.9,,0.2,,3.1,,14.9,,0,,0,T,0,,0,T,,,31,,32,
31/10/2016,2016,10,31,,3.8,,-4.1,,-0.2,,18.2,,0,,0,,0,,0,,,,33,,33,
01/11/2016,2016,11,1,,10,,-3.9,,3.1,,14.9,,0,,0,T,0,,0,T,,,10,,32,
02/11/2016,2016,11,2,,16.1,,5.2,,10.7,,7.3,,0,,0,,0,,0,,,,,,<31,
03/11/2016,2016,11,3,,11,,4.6,,7.8,,10.2,,0,,7.8,,0,,7.8,,,,33,,41,
04/11/2016,2016,11,4,,4.8,,-3.5,,0.7,,17.3,,0,,0,T,0,,0,T,,,33,,43,
05/11/2016,2016,11,5,,10.7,,2.2,,6.5,,11.5,,0,,0.2,,0,,0.2,,,,34,,39,
06/11/2016,2016,11,6,,8.8,,-0.8,,4,,14,,0,,0,,0,,0,,,,33,,35,
07/11/2016,2016,11,7,,13.7,,-4.5,,4.6,,13.4,,0,,0,,0,,0,,,,,,<31,
08/11/2016,2016,11,8,,16.6,,1.5,,9.1,,8.9,,0,,0,T,0,,0,T,,,,,<31,
09/11/2016,2016,11,9,,10.5,,-2.7,,3.9,,14.1,,0,,0,,0,,0,,,,33,,46,
10/11/2016,2016,11,10,,12.4,,-3.7,,4.4,,13.6,,0,,0,,0,,0,,,,22,,54,
11/11/2016,2016,11,11,,10.6,,0.9,,5.8,,12.2,,0,,0.4,,0,,0.4,,,,32,,72,
12/11/2016,2016,11,12,,6.7,,-4.8,,1,,17,,0,,0,,0,,0,,,,23,,50,
13/11/2016,2016,11,13,,12.2,,3,,7.6,,10.4,,0,,0,,0,,0,,,,21,,41,
14/11/2016,2016,11,14,,13.1,,0.7,,6.9,,11.1,,0,,0,,0,,0,,,,,,<31,
15/11/2016,2016,11,15,,11.9,,0.2,,6.1,,11.9,,0,,1,,0,,1,,,,,,<31,
16/11/2016,2016,11,16,,10,,2.4,,6.2,,11.8,,0,,4.2,,0,,4.2,,,,,,<31,
17/11/2016,2016,11,17,,9.8,,-0.1,,4.9,,13.1,,0,,0,,0,,0,,,,,,<31,
18/11/2016,2016,11,18,,10.3,,-0.6,,4.9,,13.1,,0,,0,,0,,0,,,,,,<31,
19/11/2016,2016,11,19,,8.8,,3,,5.9,,12.1,,0,,0.4,,0,,0.4,,,,22,,37,
20/11/2016,2016,11,20,,3.1,,-3.4,,-0.2,,18.2,,0,,3.4,,13,,14.8,,2,,29,,57,
21/11/2016,2016,11,21,,-2.3,,-4.4,,-3.4,,21.4,,0,,0,,9.6,,5.6,,13,,28,,65,
22/11/2016,2016,11,22,,-0.5,,-3.8,,-2.2,,20.2,,0,,0,,0,T,0,T,16,,31,,56,
23/11/2016,2016,11,23,,-1.4,,-6.6,,-4,,22,,0,,0,,0,T,0,,5,,28,,43,
24/11/2016,2016,11,24,,-0.9,,-4.2,,-2.6,,20.6,,0,,0,,6.6,,6,,4,,8,,35,
25/11/2016,2016,11,25,,0.5,,-0.9,,-0.2,,18.2,,0,,0,,0.4,,0.4,,8,,,,<31,
26/11/2016,2016,11,26,,1.7,,-0.9,,0.4,,17.6,,0,,0,,0,T,0,T,4,,,,<31,
27/11/2016,2016,11,27,,0.3,,-4.6,,-2.2,,20.2,,0,,0,,0,T,0,T,3,,31,,30,
28/11/2016,2016,11,28,,0,,-4,,-2,,20,,0,,0,,0,,0,,3,,6,,43,
